taxon,term,estimate,std.error,conf.low,conf.high,statistic,p.value
Birds,relative_time_compare:dataset_compareFirst species,-0.1131,0.0082,-0.1291,-0.0971,-13.851,1.28e-43
Butterflies,relative_time_compare:dataset_compareFirst species,-0.055,0.003,-0.0609,-0.0491,-18.285,1.1499999999999997e-74
