taxon,n_users,mean_raw_slope,median_raw_slope,sd_raw_slope,min_raw_slope,max_raw_slope,n_negative,percent_negative,median_percent_change_body_size,mean_percent_change_body_size,median_start_body_size,median_end_body_size
Birds,1007,-0.10566754578913898,-0.09952333785887936,0.4697834443148618,-1.9499162509020593,1.3264711007525087,600,59.58291956305859,-20.47994676286048,36.86922417026645,125.29430747985666,98.32977488235109
Butterflies,853,-0.06041406338681592,-0.06469113616593612,0.10800468229482926,-0.36754471556513363,0.34794524716887765,613,71.86400937866354,-13.839370395956152,-10.206525808862988,5.123713891362633,4.406553162257465
