taxon,threshold_percent_decline,unique_species_needed,body_size_at_threshold,users_contributing_at_threshold,median_relative_time,q25_relative_time,q75_relative_time,median_years_since_first_species,q25_years_since_first_species,q75_years_since_first_species,n_users_contributing
Birds,-5,36.975135623869804,129.00953229571434,907,0.3025210084033613,0.1782221895448864,0.5294117647058824,0.8542094455852156,0.3394934976043806,1.995893223819302,895
Butterflies,-5,21.953558052434456,4.765432561273059,839,0.4883720930232558,0.328125,0.7,1.3990417522245038,0.8350444900752909,2.8774811772758384,817
Birds,-10,51.98333767248113,121.8825208503391,780,0.375,0.2328767123287671,0.5795454545454546,1.049965776865161,0.48186173853524983,2.2799452429842573,776
Butterflies,-10,41.944110854503464,4.492867551260637,459,0.6721311475409836,0.43617021276595747,0.82,2.5489390828199863,1.3661875427789185,4.114989733059549,433
Birds,-20,111.53121658303859,108.49342666261495,538,0.5873015873015873,0.4111111111111111,0.7816901408450704,2.0684462696783026,1.0410677618069815,3.2902121834360023,486
