taxon,n_first_species_records,n_users,n_species,median_new_species_per_user,min_new_species_per_user,max_new_species_per_user,median_years_on_app,max_years_on_app,mean_body_size,median_body_size,mean_log_body_size,median_log_body_size
Birds,147246,1007,5652,214,20,2008,4.892539356605065,15.214236824093087,546.1318156709261,77.38749999999999,2.0131763419538977,1.8886708170209612
Butterflies,48618,853,2887,65,20,654,5.563312799452429,13.078713210130047,5.08456316382695,4.68,0.6665385744622668,0.670245853074124
