taxon,term,estimate,std.error,conf.low,conf.high,statistic,p.value
Birds,relative_time_first_species,-133.2112,20.7971,-174.0434,-92.3791,-6.405,2.75e-10
Butterflies,relative_time_first_species,-0.7044,0.039,-0.7809,-0.6278,-18.064,9.28e-60
