taxon,estimate,conf.low,conf.high,p.value,multiplicative_change,percent_change,percent_change_low,percent_change_high
Birds,-133.2112426732182,-174.04338138520075,-92.37910396123566,2.751737615859524e-10,6.148332228213903e-134,-100,-100,-100
Butterflies,-0.7043589218316505,-0.7809190772855903,-0.6277987663777107,9.278362797476933e-60,0.19753364523552575,-80.24663547644742,-83.43921485790226,-76.43859233409995
