taxon,user_id,raw_slope,raw_intercept,n_new_species,max_years_first_species_user,predicted_start_log,predicted_end_log,predicted_start_body_size,predicted_end_body_size,absolute_change_body_size,percent_change_body_size,user_rank
Birds,7129580,-1.9499162509020593,2.9430196749529545,40,0.9007529089664613,2.9430196749529545,0.9931034240508951,877.0405530340331,9.842454687056941,-867.1980983469762,-98.87776515544144,1
Birds,5894035,-1.9011329704043294,3.024724431063334,31,1.3360711841204653,3.024724431063334,1.1235914606590045,1058.5818197146625,13.292034525170553,-1045.289785189492,-98.74435454325548,2
Birds,70563,-1.8558619976382063,3.0972355029145406,41,4.777549623545517,3.0972355029145406,1.2413735052763344,1250.937186410079,17.433055198648105,-1233.5041312114308,-98.60640043416751,3
Birds,7597646,-1.745872027612497,2.6986329826379007,20,0.6269678302532512,2.6986329826379007,0.9527609550254037,499.6121399442143,8.969349664109526,-490.64279028010475,-98.20473744590934,4
Birds,924342,-1.6619985688007903,3.1423839582418243,70,5.979466119096509,3.1423839582418243,1.480385389441034,1387.9823970021878,30.226327907487196,-1357.7560690947005,-97.822283051084,5
Birds,3471449,-1.601558451971144,2.701744054883722,37,2.537987679671458,2.701744054883722,1.100185602912578,503.20396547030003,12.59463549323598,-490.6093299770641,-97.49711123968093,6
Birds,1425402,-1.5259892218071276,2.777379415446958,103,4.328542094455853,2.777379415446958,1.2513901936398304,598.9346176158454,17.839808724865225,-581.0948088909802,-97.02140964970776,7
Birds,541726,-1.505703689496913,2.7524868928838035,27,5.935660506502396,2.7524868928838035,1.2467832033868906,565.5706877666205,17.651564475930254,-547.9191232906902,-96.87898173336485,8
Birds,4382848,-1.4617030579091488,3.193044588820612,30,1.2210814510609171,3.193044588820612,1.731341530911463,1559.7126296062522,53.86932465036103,-1505.8433049558912,-96.5462019331112,9
Birds,2553644,-1.4325923308610957,2.571717068441977,49,0.12594113620807665,2.571717068441977,1.1391247375808813,373.00707421687065,13.776050862864604,-359.231023354006,-96.30675882172277,10
