taxon,predicted_start_body_size,predicted_end_body_size,absolute_change_body_size,percent_change
Birds,591.8936782888413,479.54317533185065,-112.35050295699068,-18.981534535356904
Butterflies,5.424351925527842,4.693421600218988,-0.7309303253088535,-13.474979782727258
