mean_line_slope_log,mean_line_slope_body,start_body_size,end_body_size,percent_change_body,taxon,n_users_sampled,replicate
-0.0689444805009199,-34.60230062291335,166.59998331270268,128.11907070297872,-23.097788994070033,Birds,50,1
-0.19848512848506766,-63.28490635507666,178.75489307733213,111.7430815651347,-37.488099127561824,Birds,50,2
-0.0387497340742445,-27.712398410091904,164.2834580784893,135.89812005890985,-17.27826912799575,Birds,50,3
-0.07999674255145416,-15.92225971715909,183.8267708433259,163.69136787877056,-10.953466066004381,Birds,50,4
-0.10180413426734845,-41.78801758790632,164.09685057046423,120.89701182444088,-26.325818317563055,Birds,50,5
-0.0860246716098562,-39.255991691612685,158.07106109387217,116.71790996462678,-26.16111440201403,Birds,50,6
-0.07987917237950554,-4.431082088630651,164.0252989585409,159.75543893503843,-2.603171614752997,Birds,50,7
-0.04634103054754886,-13.903245616566771,140.27700220992398,126.90445523120044,-9.532957482732318,Birds,50,8
-0.2150212069054751,-68.48431163058535,192.44986249711957,120.05192072748656,-37.61911847077397,Birds,50,9
-0.21918388631698735,-65.96422699538171,183.53291666709057,114.18346531214242,-37.785838428504235,Birds,50,10
-0.22553774002231347,-60.692733404240386,172.68725760918358,107.46145966730283,-37.77105435856548,Birds,50,11
-0.11244990247610005,-43.6403916257232,173.58586752689348,127.54013213227158,-26.526200577640967,Birds,50,12
-0.17574521388967415,-51.1998224178177,177.66432972869544,123.02896033251834,-30.752019541350105,Birds,50,13
-0.0881204596221682,-35.134086459685925,151.75991985937716,115.88395314733556,-23.639948377203133,Birds,50,14
-0.05904315439496947,-21.546066625215822,162.6794514994137,140.3924489660412,-13.699949396161326,Birds,50,15
-0.09654012926569168,-32.140908158130706,163.7319644095521,128.75428099779953,-21.362770267790165,Birds,50,16
-0.15021684492761322,-58.65045686007391,178.41938695022031,113.69282684752191,-36.27776174388345,Birds,50,17
-0.054385125074381334,-13.902480441347691,149.73316028712992,135.24091782305305,-9.6787127422452,Birds,50,18
0.023141433795671594,1.467896399798458,144.0308582201413,146.10499974920188,1.4400674651888767,Birds,50,19
-0.11043582211911167,-47.83845005947533,167.04293161722657,116.9759384803785,-29.972530206530944,Birds,50,20
-0.11179678456968109,-44.164436660340805,161.87654062565656,113.26877834642053,-30.027675468826985,Birds,50,21
-0.11409158524012153,-47.6081970986282,195.3585258520705,140.25049418193242,-28.20866477661027,Birds,50,22
-0.15138697100797738,-63.73276962467126,174.1738582315212,107.17051253105342,-38.46923205398789,Birds,50,23
-0.17586130495180383,-76.95717816726328,208.0620044797745,127.36790978876533,-38.7836764779671,Birds,50,24
-0.08136320484641402,-30.55726252472334,166.63349360493885,131.1689717624152,-21.282949229045343,Birds,50,25
-0.10611729625582401,-43.01466810237933,164.56527090907952,119.92100895669546,-27.128604781411937,Birds,50,26
-0.06218483607593106,-31.719238310271116,169.82038578016622,133.4848889399872,-21.396428157462555,Birds,50,27
-0.10319626351090039,-38.58989072281736,183.16563154291407,142.6931531858457,-22.096109415365973,Birds,50,28
