taxon,species_bin,mean_species_number,mean_fitted_log_body_size,mean_fitted_body_size,median_fitted_body_size,n_users_at_species_number,start_body_size,percent_change_from_start
Birds,0,2.5014720314033365,2.079641759045227,142.63701817180592,121.55410651190041,511,142.63701817180592,0
Birds,5,7.004658385093168,2.0814023968861473,141.44477555670574,121.53996014222709,517,142.63701817180592,-0.8358577810874679
Birds,10,12.00308404009252,2.0802818778427343,138.93347221532306,121.29297096627772,520,142.63701817180592,-2.596483019591689
Birds,15,17.00835548803646,2.082658824357754,138.3975893681313,122.74597460259133,531,142.63701817180592,-2.9721799137501947
Birds,20,22.004106009705115,2.085342673118296,138.19620160820182,123.84720517497664,537,142.63701817180592,-3.1133688999689713
Birds,25,27.000743770918557,2.0808475514380222,134.8547434107446,122.54028916946994,538,142.63701817180592,-5.455999333698635
Birds,30,32.000743218134524,2.0748024575421042,131.2461006488471,121.66816688467516,539,142.63701817180592,-7.98594759548219
Birds,35,37,2.0690598170036356,128.24612678224324,120.94549967893849,539,142.63701817180592,-10.089170100449586
Birds,40,42,2.0625211852552017,125.30417370835593,120.04062434199919,539,142.63701817180592,-12.151715372073058
Birds,45,47,2.0559825535067677,122.8002369261203,118.76119279374683,539,142.63701817180592,-13.907176061260806
Birds,50,52,2.049443921758334,120.70738301431078,117.33080483536521,539,142.63701817180592,-15.374434658386471
Birds,55,57,2.0429052900099,119.00310460652092,115.58669257179433,539,142.63701817180592,-16.569270634091648
Birds,60,61.99888558692422,2.0357598176549025,117.37550510116698,113.576684604434,539,142.63701817180592,-17.710348543750065
Birds,65,67,2.028790515395017,116.18726774280341,110.7318955963332,538,142.63701817180592,-18.543398318341076
Birds,70,72,2.022223224374155,115.53670599721133,108.93227410365469,538,142.63701817180592,-18.999494326187005
Birds,75,77,2.0156559333532935,115.2228322613777,105.85952841261869,538,142.63701817180592,-19.219545011385406
Birds,80,81.9981384959047,2.008239327172693,114.84719549167261,104.32348384515961,538,142.63701817180592,-19.482896541387696
Birds,85,87,2.000273812362899,114.51669910545789,102.53433945370125,536,142.63701817180592,-19.71460103889523
Birds,90,91.99812593703149,1.9908201764365023,113.7849364745613,98.7025694736884,535,142.63701817180592,-20.227625385783345
Birds,95,96.99811959383227,1.9817730357340047,113.48464870017669,96.85457496339306,533,142.63701817180592,-20.43815122138579
Birds,100,100,1.9765714194421775,113.51568692447974,96.77225070802727,531,142.63701817180592,-20.416390934539596
Butterflies,0,2.5,0.6663215890215617,4.666937283831916,4.703940790463225,97,4.666937283831916,0
Butterflies,5,7.0081632653061225,0.6654230800299792,4.655138888671682,4.663019180979154,99,4.666937283831916,-0.25280809324582654
Butterflies,10,12.004032258064516,0.6644152297646468,4.642258592490047,4.617545556973707,100,4.666937283831916,-0.5287984354828468
Butterflies,15,17,0.6629111360109928,4.623970103508712,4.5857292362283095,100,4.666937283831916,-0.920671903435677
Butterflies,20,22,0.6625290479528517,4.6192496297582295,4.576394719469089,102,4.666937283831916,-1.0218190469131638
Butterflies,25,27.003913894324853,0.6601509137190311,4.591447646353846,4.556308237208772,103,4.666937283831916,-1.6175412885790386
Butterflies,30,32,0.6583862457247285,4.571485047353553,4.540245674110398,103,4.666937283831916,-2.0452864624739386
Butterflies,35,37,0.6557424826403778,4.541785978935227,4.509203536942394,103,4.666937283831916,-2.681658168629386
Butterflies,40,42,0.6530987195560272,4.512767850553209,4.48267799510745,103,4.666937283831916,-3.303439148685572
Butterflies,45,47,0.6504549564716765,4.484421771247948,4.4594026192613905,103,4.666937283831916,-3.910819912156782
Butterflies,50,52,0.6478111933873258,4.456739122591312,4.43681982683816,103,4.666937283831916,-4.503985128936961
Butterflies,55,57,0.6451674303029752,4.429711554356509,4.400999651871625,103,4.666937283831916,-5.0831137220816895
Butterflies,60,62,0.6425236672186246,4.403330980347439,4.362950727236562,103,4.666937283831916,-5.648378957174149
Butterflies,65,67,0.639879904134274,4.377589574384754,4.326450741863648,103,4.666937283831916,-6.199948528333021
Butterflies,70,72,0.6372361410499233,4.352479766446069,4.282718958027455,103,4.666937283831916,-6.737984640917505
Butterflies,75,77,0.6345923779655727,4.327994238957813,4.255849805676825,103,4.666937283831916,-7.26264409098304
Butterflies,80,82,0.631948614881222,4.304125923236386,4.247937974967602,103,4.666937283831916,-7.774078341537816
Butterflies,85,87,0.6293048517968713,4.280867996076327,4.235955712339426,103,4.666937283831916,-8.272433595649186
Butterflies,90,91.99415204678363,0.6260928316176969,4.2517299134359465,4.227939084547677,103,4.666937283831916,-8.89678487504877
Butterflies,95,96.99409448818898,0.6218929615351794,4.2118395389074985,4.189518093583566,102,4.666937283831916,-9.751529048848651
Butterflies,100,100,0.6192894961640704,4.187178683653988,4.166211476862684,101,4.666937283831916,-10.27994530460048
