taxon,term,estimate,std.error,conf.low,conf.high,statistic,p.value
Birds,relative_time_compare:dataset_compareFirst species,-0.1002,0.0125,-0.1248,-0.0756,-7.982,1.44e-15
Butterflies,relative_time_compare:dataset_compareFirst species,-0.057,0.0064,-0.0695,-0.0445,-8.919,4.71e-19
