taxon,estimate,conf.low,conf.high,p.value,multiplicative_change,percent_change,percent_change_low,percent_change_high
Birds,-0.12946490861879767,-0.16913595590098657,-0.08979386133660877,3.1710720939721527e-10,0.742224167690296,-25.777583230970404,-32.257059488315434,-18.678358077985735
Butterflies,-0.05234650907015132,-0.06939076610053438,-0.035302252039768264,1.048998599419159e-4,0.8864484621723961,-11.355153782760386,-14.766713651994678,-7.807042323882484
