taxon,threshold_percent_decline,unique_species_needed,body_size_at_threshold,users_contributing_at_threshold,median_relative_time,q25_relative_time,q75_relative_time,median_years_since_first_species,q25_years_since_first_species,q75_years_since_first_species,n_users_contributing
Birds,-5,27.000743770918557,134.8547434107446,538,0.26262626262626265,0.26262626262626265,0.26262626262626265,0.4079397672826831,0.15879534565366188,1.028062970568104,539
Butterflies,-5,57,4.429711554356509,103,0.5656565656565656,0.5656565656565656,0.5656565656565656,1.8781656399726214,1.0458590006844628,3.0102669404517455,103
Birds,-10,37,128.24612678224324,539,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.5667351129363449,0.2327173169062286,1.2813141683778233,539
Butterflies,-10,100,4.187178683653988,101,1,1,1,3.460643394934976,2.198494182067077,5.737166324435318,103
Birds,-20,91.99812593703149,113.7849364745613,535,0.9191919191919192,0.9191919191919192,0.9191919191919192,1.6837782340862424,0.8473648186173853,2.777549623545517,539
