taxon,user_id,raw_slope,raw_intercept,n_new_species,max_years_first_species_user,predicted_start_log,predicted_end_log,predicted_start_body_size,predicted_end_body_size,absolute_change_body_size,percent_change_body_size,user_rank
Birds,7420385,-1.5622015234361775,2.890102471587645,100,0.7227926078028748,2.890102471587645,1.3279009481514676,776.4302933960669,21.276537253572954,-755.1537561424939,-97.25969769153255,1
Birds,1425402,-1.4802805876457616,2.7769302350098655,100,1.4921286789869952,2.7769302350098655,1.2966496473641038,598.3154740462735,19.799291393570602,-578.5161826527029,-96.69082745601204,2
Birds,4098871,-1.477344219443482,2.873698107829327,100,2.1765913757700206,2.873698107829327,1.3963538883858448,747.6496043610335,24.908862103996153,-722.7407422570374,-96.66837754494847,3
Birds,5703184,-1.438585034558253,3.0543019751958176,100,1.6673511293634498,3.0543019751958176,1.6157169406375647,1133.1880217220605,41.27783784476519,-1091.9101838772954,-96.35737079341547,4
Birds,36326,-1.3493089989834248,2.905012523391596,100,7.953456536618754,2.905012523391596,1.5557035244081712,803.5492931394143,35.95038323815595,-767.5989099012584,-95.52605128956057,5
Birds,5276538,-1.3062816206901409,2.764195202688257,100,0.49555099247091033,2.764195202688257,1.457913581998116,581.0255128416862,28.702093971468344,-552.3234188702179,-95.06009747642719,6
Birds,5109302,-1.1955614447561107,2.7714386458697424,100,0.7748117727583846,2.7714386458697424,1.5758772011136317,590.7974958818113,37.65972992018537,-553.137765961626,-93.62561111333498,7
Birds,1521984,-1.180093025536172,2.782362592985447,100,1.0239561943874058,2.782362592985447,1.602269567449275,605.8464856167287,40.01930733227589,-565.8271782844529,-93.394480568532515,8
Birds,6067690,-1.1716407924312853,2.741767620318032,100,0.5831622176591376,2.741767620318032,1.5701268278867466,551.7821160185855,37.16437451180201,-514.6177415067834,-93.26466490433513,9
Birds,20400,-1.151066565953236,2.7758262377497607,100,1.2292950034223136,2.7758262377497607,1.6247596717965247,596.796459133317,42.14632112009207,-554.6501380132249,-92.9379069739626,10
Birds,1950567,-1.1373643187221472,2.45088396142262,100,3.685147159479808,2.45088396142262,1.3135196427004727,282.41252997366547,20.58351985616663,-261.82901011749885,-92.7115415671939,11
Birds,4530,-1.0642072651459635,2.649604936606697,100,0.5010266940451745,2.649604936606697,1.5853976714607336,446.277443549928,38.494410339759334,-407.7830332101687,-91.37433206716558,12
Birds,229788,-1.0593571078244042,2.48114110137342,100,6.198494182067077,2.48114110137342,1.4217839935490157,302.78970257509656,26.410948207182322,-276.3787543679142,-91.27746155745439,13
Birds,1032462,-1.0450416596667316,2.7831627669421564,100,1.0266940451745379,2.7831627669421564,1.7381211072754248,606.9637677202952,54.71685249305568,-552.2469152272395,-90.98515341392329,14
Birds,295455,-1.0315625603526788,2.433354905500794,100,1.2320328542094456,2.433354905500794,1.4017923451481151,271.24073060068525,25.222744763122677,-246.01798583756258,-90.70097447855092,15
Birds,497017,-1.0272527426484461,2.683431915689188,100,2.7186858316221767,2.683431915689188,1.656179173040742,482.4273440354217,45.30844664086963,-437.11889739455205,-90.60823413078698,16
Birds,3381180,-1.0149802689843423,2.565246511395636,100,2.6666666666666665,2.565246511395636,1.5502662424112938,367.4908340548751,35.503097278176966,-331.98773677669817,-90.33905230058731,17
Birds,740186,-1.0006483671521074,2.5177015491160106,100,0.6899383983572895,2.5177015491160106,1.5170531819639033,329.3832793751463,32.88919031961488,-296.4940890555314,-90.01491806687727,18
Birds,1745827,-0.996436022636213,2.7196218679010404,100,3.479808350444901,2.7196218679010404,1.7231858452648274,524.3507190569293,52.86714348557499,-471.48357557135427,-89.91759874370743,19
Birds,3493585,-0.9863998783688913,2.743235005000567,100,0.6570841889117043,2.743235005000567,1.7568351266316755,553.6496185073966,57.12617245787278,-496.5234460495238,-89.68189075757313,20
Birds,2068493,-0.9855617611895032,2.6174177988974314,100,1.215605749486653,2.6174177988974314,1.6318560377079283,414.39814139250234,42.8406486350284,-371.55749275747394,-89.66195927156649,21
Birds,723990,-0.9657066387243091,2.536333535903622,100,0.6516084873374401,2.536333535903622,1.570626897179313,343.82189996117455,37.207192155326034,-306.6147078058485,-89.17835304861977,22
Birds,5349844,-0.950877377275869,2.389581002046003,100,0.4106776180698152,2.389581002046003,1.4387036247701341,245.2341807490748,27.460195496464788,-217.77398525261,-88.80245999452978,23
Birds,4090916,-0.9370898584493317,2.4729347087166427,100,1.566050650239562,2.4729347087166427,1.535844850267311,297.12193088044324,34.343523530273046,-262.7784073501702,-88.44126940461615,24
Birds,1733946,-0.9338277779874017,2.3124964751852675,100,0.5366187542778919,2.3124964751852675,1.3786686971978659,205.3508359734001,23.914907047671154,-181.43592892572894,-88.35412238070023,25
Birds,3757936,-0.9101595967736779,2.4956203716551033,100,1.2073921971252566,2.4956203716551033,1.5854607748814256,313.054803273813,38.5000040222885,-274.55479925152446,-87.70183251632957,26
Birds,206913,-0.9084237156350868,2.610025944799511,100,6.245037645448323,2.610025944799511,1.7016022291644242,407.40461547310827,50.30396631004917,-357.1006491630591,-87.65257819879324,27
Birds,1684484,-0.9081254752561352,2.569661838107462,100,2.2039698836413417,2.569661838107462,1.6615363628513269,371.2460470791302,45.87080511546766,-325.3752419636626,-87.64409601762294,28
Birds,967448,-0.891664729759998,2.557562059264908,100,2.565366187542779,2.557562059264908,1.66589732950491,361.04560213931944,46.333737033441324,-314.71186510587813,-87.16679090981914,29
Birds,1341402,-0.8889864256098737,2.5991459395560566,100,1.1800136892539357,2.5991459395560566,1.710159513946183,397.3250434494362,51.30497897214989,-346.02006447728627,-87.08740367162913,30
Birds,5690872,-0.8876221639260514,2.5960315279095725,100,2.1574264202600957,2.5960315279095725,1.7084093639835212,394.4859390165573,51.09864265027275,-343.38729636628455,-87.04677718611207,31
Birds,1418270,-0.8833503686022511,2.5710807532960644,100,3.652292950034223,2.5710807532960644,1.6877303846938134,372.4609557038116,48.72259204054551,-323.73836366326606,-86.9187383819928,32
Birds,5280968,-0.8764803971663548,2.3559117711573263,100,0.4271047227926078,2.3559117711573263,1.4794313739909715,226.9403765648536,30.160002555141872,-196.78037400971175,-86.71016457641115,33
Birds,1772347,-0.8734004359619241,2.6243091546587776,100,1.2840520191649556,2.6243091546587776,1.7509087186968535,421.0262313243534,56.351920123964035,-364.67431120038935,-86.61557975931642,34
Birds,5219404,-0.8723586550249594,2.350772210524931,100,0.31211498973305957,2.350772210524931,1.4784135554999716,224.27053058782656,30.089401923039958,-194.1811286647866,-86.58343481679299,35
Birds,417378,-0.8710756799752783,2.4317049623689413,100,0.9664613278576317,2.4317049623689413,1.560629282393663,270.2122055836999,36.360452758279344,-233.8517528254206,-86.54374154574728,36
Birds,318056,-0.8608150176398842,2.371507762670874,100,4.101300479123887,2.371507762670874,1.5106927450309895,235.23815399753715,32.411023447768066,-202.8271305497691,-86.22203800829547,37
Birds,1842614,-0.858836680897215,2.6766665466712545,100,3.696098562628337,2.6766665466712545,1.8178298657740395,474.97040141428306,65.74002513205161,-409.2303762822314,-86.15913224565098,38
Birds,423589,-0.854851626899108,2.657804148959099,100,1.9082819986310746,2.657804148959099,1.802952522059991,454.7829233149077,63.52614800019509,-391.2567753147126,-86.03154499796217,39
Birds,522377,-0.8499488414125838,2.732432580294373,100,6.713210130047912,2.732432580294373,1.8824837388817894,540.0482713743252,76.29283246002477,-463.7554389143004,-85.87296052890359,40
Birds,1199297,-0.8448951887008902,2.3412012846552654,100,5.259411362080766,2.3412012846552654,1.4963060959543752,219.382148127382,31.354948800640347,-188.02719932674165,-85.70761154985391,41
Birds,108698,-0.8436356870012844,2.232605094449511,100,1.2785763175906912,2.232605094449511,1.3889694074482264,170.84610986850006,24.488907311213946,-146.35720255728612,-85.66610189130849,42
Birds,6395722,-0.8433454664145649,2.4571275659148535,100,1.4182067077344285,2.4571275659148535,1.6137820995002885,286.50193924068645,41.09434848707017,-245.4075907536163,-85.65651995376291,43
Birds,2149459,-0.8387775875394456,2.4322631429068844,100,0.7118412046543463,2.4322631429068844,1.5934855553674387,270.55972130872465,39.218010220725006,-231.34171108799964,-85.50486006157031,44
Birds,747194,-0.8346009954889699,2.4653555295375407,100,4.922655715263518,2.4653555295375407,1.6307545340485707,291.98163055861414,42.732129322143244,-249.2495012364709,-85.36478844905795,45
Birds,153796,-0.8294539733841028,2.081165224209387,100,1.4099931553730323,2.081165224209387,1.2517112508252843,120.54944748384423,17.8530018844272,-102.69644559941703,-85.19030799637649,46
