taxon,first_species_number,median_relative_time,q25_relative_time,q75_relative_time,median_years_since_first_species,q25_years_since_first_species,q75_years_since_first_species,n_users_contributing
Birds,1,0,0,0,0,0,0,539
Birds,2,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.0027378507871321013,0,0.04106776180698152,539
Birds,3,0.020202020202020204,0.020202020202020204,0.020202020202020204,0.019164955509924708,0.0027378507871321013,0.11225188227241616,539
Birds,4,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.03559206023271732,0.0054757015742642025,0.18480492813141686,539
Birds,5,0.04040404040404041,0.04040404040404041,0.04040404040404041,0.049281314168377825,0.010951403148528405,0.23545516769336072,539
Birds,6,0.050505050505050504,0.050505050505050504,0.050505050505050504,0.06844626967830253,0.01642710472279261,0.2874743326488706,539
Birds,7,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.08487337440109514,0.019164955509924708,0.34223134839151265,539
Birds,8,0.0707070707070707,0.0707070707070707,0.0707070707070707,0.10130047912388775,0.02737850787132101,0.3887748117727584,539
Birds,9,0.08080808080808081,0.08080808080808081,0.08080808080808081,0.11772758384668036,0.03559206023271732,0.4353182751540041,539
Birds,10,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.14784394250513347,0.04106776180698152,0.4928131416837782,539
Birds,11,0.10101010101010101,0.10101010101010101,0.10101010101010101,0.16153319644079397,0.049281314168377825,0.5297741273100616,539
Birds,12,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1697467488021903,0.05475701574264202,0.5626283367556468,539
Birds,13,0.12121212121212122,0.12121212121212122,0.12121212121212122,0.1806981519507187,0.06023271731690623,0.5982203969883642,539
Birds,14,0.13131313131313133,0.13131313131313133,0.13131313131313133,0.19164955509924708,0.06981519507186859,0.6351813826146475,539
Birds,15,0.1414141414141414,0.1414141414141414,0.1414141414141414,0.216290212183436,0.07665982203969883,0.6694045174537988,539
Birds,16,0.15151515151515152,0.15151515151515152,0.15151515151515152,0.23819301848049282,0.07802874743326488,0.7186858316221766,539
Birds,17,0.16161616161616163,0.16161616161616163,0.16161616161616163,0.25735797399041754,0.08213552361396304,0.732375085557837,539
Birds,18,0.1717171717171717,0.1717171717171717,0.1717171717171717,0.26283367556468173,0.09582477754962354,0.7638603696098563,539
Birds,19,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.2874743326488706,0.1054072553045859,0.8227241615331964,539
Birds,20,0.1919191919191919,0.1919191919191919,0.1919191919191919,0.3066392881587953,0.108145106091718,0.8678986995208762,539
Birds,21,0.20202020202020202,0.20202020202020202,0.20202020202020202,0.32854209445585214,0.11498973305954825,0.9103353867214237,539
Birds,22,0.21212121212121213,0.21212121212121213,0.21212121212121213,0.34770704996577684,0.12320328542094455,0.921286789869952,539
Birds,23,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.35592060232717315,0.12867898699520877,0.9500342231348391,539
Birds,24,0.23232323232323232,0.23232323232323232,0.23232323232323232,0.36960985626283366,0.13415468856947296,0.971937029431896,539
Birds,25,0.24242424242424243,0.24242424242424243,0.24242424242424243,0.3805612594113621,0.14373716632443534,0.9952087611225189,539
Birds,26,0.25252525252525254,0.25252525252525254,0.25252525252525254,0.4024640657084189,0.15331964407939766,1.000684462696783,539
Birds,27,0.26262626262626265,0.26262626262626265,0.26262626262626265,0.4079397672826831,0.15879534565366188,1.028062970568104,539
Birds,28,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.4353182751540041,0.16974674880219026,1.0335386721423683,539
Birds,29,0.2828282828282828,0.2828282828282828,0.2828282828282828,0.44353182751540043,0.1834360027378508,1.058179329226557,539
Birds,30,0.29292929292929293,0.29292929292929293,0.29292929292929293,0.47638603696098564,0.19028062970568105,1.0787132101300478,539
Birds,31,0.30303030303030304,0.30303030303030304,0.30303030303030304,0.49007529089664614,0.1998631074606434,1.0965092402464065,539
Birds,32,0.31313131313131315,0.31313131313131315,0.31313131313131315,0.49828884325804246,0.20670773442847365,1.1321013004791238,539
Birds,33,0.32323232323232326,0.32323232323232326,0.32323232323232326,0.5037645448323066,0.2108145106091718,1.163586584531143,539
Birds,34,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5119780971937029,0.2190280629705681,1.1718001368925393,539
Birds,35,0.3434343434343434,0.3434343434343434,0.3434343434343434,0.5448323066392882,0.2245037645448323,1.2019164955509924,539
Birds,36,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.5530458590006845,0.2299794661190965,1.216974674880219,539
Birds,37,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.5667351129363449,0.2327173169062286,1.2813141683778233,539
Birds,38,0.37373737373737376,0.37373737373737376,0.37373737373737376,0.5804243668720055,0.24914442162902123,1.3319644079397672,539
Birds,39,0.3838383838383838,0.3838383838383838,0.3838383838383838,0.5859000684462696,0.2532511978097194,1.3689253935660506,539
Birds,40,0.3939393939393939,0.3939393939393939,0.3939393939393939,0.5995893223819302,0.25735797399041754,1.3839835728952772,539
Birds,41,0.40404040404040403,0.40404040404040403,0.40404040404040403,0.6187542778918549,0.2683093771389459,1.3990417522245038,539
Birds,42,0.41414141414141414,0.41414141414141414,0.41414141414141414,0.6351813826146475,0.2806297056810404,1.4154688569472964,539
Birds,43,0.42424242424242425,0.42424242424242425,0.42424242424242425,0.6570841889117043,0.2943189596167009,1.4373716632443532,539
Birds,44,0.43434343434343436,0.43434343434343436,0.43434343434343436,0.6652977412731006,0.3052703627652293,1.4510609171800137,539
Birds,45,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.6735112936344969,0.31759069130732376,1.4729637234770705,539
