taxon,term,estimate,std.error,conf.low,conf.high,statistic,p.value
Birds,relative_time_first_species,-0.1295,0.0202,-0.1691,-0.0898,-6.411,3.17e-10
Butterflies,relative_time_first_species,-0.0523,0.0074,-0.0694,-0.0353,-7.086,1.05e-4
