taxon,sample_size,run,term,estimate,std.error,conf.low,conf.high,statistic,p.value
Birds,50,1,(Intercept),2.111104345207741,0.03851134960127873,2.0337128903434,2.1884958000720824,54.81771911565634,1.2262536433448068e-45
Birds,50,1,relative_time_first_species,-0.16857951979070515,0.06178635128389181,-0.2927438395008033,-0.044415200080606995,-2.7284265260482403,0.008810920670425925
Birds,50,2,(Intercept),2.1421050126637167,0.022587969485210888,2.097821928951326,2.1863880963761075,94.83388996369176,0
Birds,50,2,relative_time_first_species,-0.10226528809422865,0.048403434786335256,-0.5268504250670865,0.32231984887862913,-2.112769239324708,0.24856719951307005
Birds,50,3,(Intercept),2.10444707396036,0.02233553294659164,2.06065945992867,2.14823468799205,94.21969374952813,0
Birds,50,3,relative_time_first_species,-0.06917983141998825,0.048509038408492446,-0.16780533907519335,0.029445676235216864,-1.4261225060251241,0.16305878147108863
Birds,50,4,(Intercept),2.086983960797023,0.04120367283577815,2.004182081262014,2.1697858403320316,50.650435195787786,5.5268020243137145e-44
Birds,50,4,relative_time_first_species,-0.0816294295725838,0.0662014353512828,-0.21466619196624986,0.051407332821082244,-1.2330462193068152,0.22344140541168575
Birds,50,5,(Intercept),2.1271655588942204,0.044300665337992824,2.038140038498035,2.216191079290406,48.0165600824495,7.19276672492835e-43
Birds,50,5,relative_time_first_species,-0.16310001101458607,0.07933278724882033,-0.3225252150769839,-0.0036748069521882476,-2.0558966433769332,0.04514026930978608
Birds,50,6,(Intercept),2.132634811389689,0.04616904332546874,2.0398546425164374,2.225414980262941,46.19187788570096,4.6120766104351716e-42
Birds,50,6,relative_time_first_species,-0.17099939073243423,0.06558023982430795,-0.30278782067412985,-0.0392109607907386,-2.6074834613375666,0.012054127560371202
Birds,50,7,(Intercept),2.1288729605013916,0.04820614429473813,2.031999088947656,2.2257468320551275,44.16185927431175,3.964861369780583e-41
Birds,50,7,relative_time_first_species,-0.10619200688208515,0.07566396988127044,-0.2582444418064042,0.04586042804223393,-1.4034686132477368,0.1667828880931332
Birds,50,8,(Intercept),2.119035775631936,0.045490411728622664,2.027619371347393,2.2104521799164787,46.58203113819332,3.0815787257177365e-42
Birds,50,8,relative_time_first_species,-0.1779288681944596,0.07146531177132072,-0.3215437883015534,-0.03431394808736579,-2.4897235285813597,0.01622619670265659
Birds,50,9,(Intercept),2.110692366686868,0.04778493527697005,2.014664944075144,2.2067197892985924,44.17066496905179,3.9274824983427276e-41
Birds,50,9,relative_time_first_species,-0.12301302163752496,0.07020340265882125,-0.2640920394178815,0.018065996142831567,-1.752237312988248,0.08598903966537988
Birds,50,10,(Intercept),2.147682623251691,0.04315420150994825,2.0609610065013912,2.2344042400019903,49.767636709871454,1.287348989560412e-43
Birds,50,10,relative_time_first_species,-0.13227471050003684,0.07265112185260153,-0.27827260781854013,0.013723186818466432,-1.8206836608580226,0.0747644306008099
Birds,50,11,(Intercept),2.067150594825022,0.04183270572092505,1.9830846246843,2.151216564965744,49.41469979530913,1.812289559915851e-43
Birds,50,11,relative_time_first_species,-0.05687841529500816,0.06795369986125664,-0.1934364898374289,0.07967965924741259,-0.83701719569558,0.40664673408971586
Birds,50,12,(Intercept),2.1308757523347555,0.04798450448069331,2.0344472805633362,2.2273042241061747,44.407580642874386,3.040861556693905e-41
Birds,50,12,relative_time_first_species,-0.11063494112024753,0.07797563808457489,-0.26733285415146574,0.046062971910970654,-1.4188398304640908,0.16227551149471714
Birds,50,13,(Intercept),2.1448392149321043,0.03512457192975394,2.0742537451216156,2.215424684742593,61.063782335101315,6.680924762889082e-48
Birds,50,13,relative_time_first_species,-0.15273700732220022,0.05168787044596922,-0.2566076714856244,-0.04886634315877604,-2.954987427502174,0.004795259372076924
Birds,50,14,(Intercept),2.0643050190986316,0.037199427834509885,1.9895499708783353,2.139060067318928,55.492923931038995,6.793494437749948e-46
Birds,50,14,relative_time_first_species,-0.13849532101725018,0.06065413436080439,-0.2603843668999136,-0.01660627513458672,-2.283361595656502,0.026783398990047703
Birds,50,15,(Intercept),2.128900037059438,0.02243595628772526,2.0849156026446605,2.1728844714742155,94.88786703618966,0
Birds,50,15,relative_time_first_species,-0.12464971440624475,0.04849452125066166,-0.22835086417801953,-0.02094856463446998,-2.570387565266335,0.021788751390973613
Birds,50,16,(Intercept),2.1421131882508067,0.040220019139796004,2.0612880338499364,2.222938342651677,53.25987490968836,4.922241853291048e-45
Birds,50,16,relative_time_first_species,-0.09303689866491895,0.06669941172717715,-0.22707438405755903,0.04100058672772115,-1.394868354243826,0.16934678717384058
Birds,50,17,(Intercept),2.1048848369185937,0.0419257234845033,2.020631941316576,2.1891377325206114,50.205092768324135,8.4516271772294e-44
Birds,50,17,relative_time_first_species,-0.14379079233523426,0.06367076325452224,-0.2717419814781902,-0.015839603192278368,-2.2583488085486625,0.02841085210505398
Birds,50,18,(Intercept),2.1070261182407846,0.049436467168674475,2.0076798188955323,2.206372417586037,42.62088775582868,2.1640055349128095e-40
Birds,50,18,relative_time_first_species,-0.09481756191234736,0.070665807595616,-0.23682581939128391,0.0471906955665892,-1.3417742630911318,0.18585436933755897
Birds,50,19,(Intercept),2.0883306236025763,0.04286574400166721,2.0021886862580445,2.174472560947108,48.71793718362507,3.585086729002588e-43
Birds,50,19,relative_time_first_species,-0.13518916893550084,0.06203479953152378,-0.25985276531765833,-0.010525572553343382,-2.1792472927522355,0.03414990488062507
Birds,50,20,(Intercept),2.104428837585822,0.04157804826789654,2.020874621982283,2.187983053189361,50.61393993355635,5.721869151995351e-44
Birds,50,20,relative_time_first_species,-0.10677574324567128,0.0716957923731635,-0.25085383227177976,0.03730234578043719,-1.489288837062056,0.14282005916309193
Birds,50,21,(Intercept),2.1303490305682704,0.039123678068786596,2.0517270541561836,2.208971006980357,54.451655256510556,1.694066098063064e-45
Birds,50,21,relative_time_first_species,-0.2061622168885888,0.06735616085649045,-0.34151949264771625,-0.07080494112946134,-3.0607774295188763,0.0035769783396156734
Birds,50,22,(Intercept),2.119359613389026,0.037908135428948754,2.0431803642436144,2.1955388625344376,55.90777782677661,4.742502526949623e-46
Birds,50,22,relative_time_first_species,-0.15271043370182671,0.06547253350840948,-0.28428241261134385,-0.02113845479230958,-2.332435076492223,0.02382970168957407
Birds,50,23,(Intercept),2.102121100573703,0.04512357565038489,2.0114418817087296,2.1928003194386765,46.58587158209331,3.069355877672587e-42
Birds,50,23,relative_time_first_species,-0.12143509885756637,0.0705558672893475,-0.2632224201779375,0.020352222462804742,-1.7211197810036785,0.09153824357457213
Birds,50,24,(Intercept),2.113513285498697,0.042688677863868034,2.027727175904541,2.1992993950928525,49.509926080132544,1.6520845543743839e-43
Birds,50,24,relative_time_first_species,-0.19581294145940328,0.06377383304021123,-0.3239712565842028,-0.06765462633460381,-3.0704276679737537,0.003481644349246027
Birds,50,25,(Intercept),2.151087697435843,0.04599086787567346,2.0586655876606654,2.2435098072110202,46.77206142860472,2.535251031023087e-42
Birds,50,25,relative_time_first_species,-0.20864311132693708,0.07603755482315148,-0.36144629834391073,-0.05583992430996343,-2.7439481952332665,0.0084586092383905891
Birds,50,26,(Intercept),2.1231266997168015,0.040421596477695054,2.041896460560158,2.204356938873445,52.524563221751,9.616467748992399e-45
Birds,50,26,relative_time_first_species,-0.18322085973827074,0.05870892325575674,-0.30120085844044653,-0.06524086103609493,-3.1208349528077046,0.0030212435911803875
Birds,50,27,(Intercept),2.15334135257707,0.04162359709146678,2.069695602587437,2.2369871025667027,51.73366799234478,1.9965524243423948e-44
Birds,50,27,relative_time_first_species,-0.1538189663723576,0.07125854837759103,-0.29701838155334026,-0.010619551191374893,-2.1586037026363236,0.03580652840706729
Birds,50,28,(Intercept),2.126297355669098,0.042796759478110395,2.0402940483581293,2.2123006629800663,49.68360645989219,1.396150386466842e-43
Birds,50,28,relative_time_first_species,-0.1204493864524821,0.0651728205515344,-0.2514190714912595,0.010520298586295301,-1.8481536541331463,0.07061995726162076
Birds,50,29,(Intercept),2.0941011593295777,0.022553707937289096,2.0498858010069982,2.1383165176521572,92.8495290065942,0
Birds,50,29,relative_time_first_species,-0.09017914729008064,0.04957607078937078,-0.19668513511024752,0.016326840530086234,-1.8190055374339036,0.0907383612673833
Birds,50,30,(Intercept),2.176801037307253,0.03921704766039971,2.0979914286996446,2.2556106459148615,55.506499524321065,6.714209665220791e-46
Birds,50,30,relative_time_first_species,-0.2040704630764295,0.0643219248093726,-0.33333021313169037,-0.07481071302116865,-3.1726423561052015,0.0026081086108840734
Birds,50,31,(Intercept),2.125122335216454,0.04694662688940737,2.0307795564002387,2.219465114032669,45.26677369649209,1.215384726442773e-41
Birds,50,31,relative_time_first_species,-0.1547797312157729,0.0681804807000441,-0.2917935368129235,-0.01776592561862228,-2.2701472566131793,0.02763255066078172
Birds,50,32,(Intercept),2.0977254188549317,0.04686615038923063,2.003544363146238,2.191906474563625,44.7599259045814,2.083489314762297e-41
Birds,50,32,relative_time_first_species,-0.18632222837222495,0.06430441975415371,-0.31554679844347416,-0.05709765830097574,-2.8975026768698826,0.005609889693264025
Birds,50,33,(Intercept),2.109062698502935,0.04288057480740312,2.022890957723061,2.1952344392828085,49.18457152162092,2.2678928598139563e-43
Birds,50,33,relative_time_first_species,-0.11025819028192989,0.06557647991554659,-0.24203905898204975,0.021522678418189986,-1.6813679298420279,0.09905549831217962
Birds,50,34,(Intercept),2.1634244410480385,0.040370873014942577,2.0822961362509558,2.2445527458451213,53.58874553560644,3.658493454011359e-45
Birds,50,34,relative_time_first_species,-0.21373455168606473,0.06978713211982712,-0.35397704049446976,-0.07349206287765972,-3.0626642074798904,0.0035581460352893937
Birds,50,35,(Intercept),2.1773644240575263,0.03964367670769793,2.0976974776096964,2.257031370505356,54.92337252449468,1.1172885790035029e-45
Birds,50,35,relative_time_first_species,-0.23480715669050545,0.06643052995461315,-0.3683042992959643,-0.10131001408504656,-3.534627178963212,9.024611663045495e-4
Birds,50,36,(Intercept),2.1549171066920003,0.039124948710234336,2.0762925806375496,2.233541632746451,55.07782572832652,9.758463293015599e-46
Birds,50,36,relative_time_first_species,-0.13455722232629824,0.06281694464607862,-0.26079259469937444,-0.008321849953222049,-2.14205296173535,0.03718530913616729
Birds,50,37,(Intercept),2.1374624586657247,0.04546260171189603,2.046101939065557,2.2288229782658924,47.015841112903644,1.9758937161856386e-42
