taxon,predicted_start_body_size,predicted_end_body_size,absolute_change_body_size,percent_change
Birds,649.8129916029544,512.1001733540517,-137.71281824890275,-21.192684669045114
Butterflies,5.189146850027392,4.591181797739652,-0.5979650522877398,-11.523378882302849
