taxon,threshold_percent_decline,unique_species_needed,body_size_at_threshold,users_contributing_at_threshold
Birds,-5,22.00080612656187,605.170520972782,497
Butterflies,-5,62,4.820703737001726,103
Birds,-10,51.99879372738239,570.464710688191,498
Butterflies,-10,96.99408284023669,4.5822223325662765,102
Birds,-20,81.99918400652795,504.56950446140564,491
