taxon,n_users,mean_raw_slope,median_raw_slope,sd_raw_slope,min_raw_slope,max_raw_slope,n_negative,percent_negative,median_percent_change_body_size,mean_percent_change_body_size,median_start_body_size,median_end_body_size
Birds,500,-137.7128182485904,-133.66484937932796,814.8947180101031,-7209.470449231697,5499.595889303512,297,59.4,-26.654873060338797,-278.72594670674135,596.1039751350831,437.8600643926321
Butterflies,103,-0.5979650522884781,-0.593628390708811,0.9991855963962213,-2.858458375293564,2.485742126424357,77,74.75728155339806,-11.506175319992618,-9.702690094822389,5.183558674864126,4.553685926951683
